X (g),Y (g),Z (g),Timestamp,time (s)
0.94,-0.26,0.12,2025-02-11 10:47:44,0.0
0.94,-0.26,0.12,2025-02-11 10:47:44,0.009433962264150943
0.94,-0.26,0.13,2025-02-11 10:47:44,0.018867924528301886
0.94,-0.26,0.12,2025-02-11 10:47:44,0.02830188679245283
0.94,-0.26,0.13,2025-02-11 10:47:44,0.03773584905660377
0.94,-0.26,0.13,2025-02-11 10:47:44,0.04716981132075471
0.94,-0.27,0.13,2025-02-11 10:47:44,0.05660377358490566
0.95,-0.27,0.13,2025-02-11 10:47:44,0.0660377358490566
0.95,-0.27,0.13,2025-02-11 10:47:44,0.07547169811320754
0.95,-0.27,0.13,2025-02-11 10:47:44,0.08490566037735849
0.95,-0.27,0.12,2025-02-11 10:47:44,0.09433962264150943
0.96,-0.27,0.13,2025-02-11 10:47:44,0.10377358490566037
0.96,-0.27,0.13,2025-02-11 10:47:44,0.11320754716981132
0.95,-0.27,0.13,2025-02-11 10:47:44,0.12264150943396226
0.96,-0.27,0.12,2025-02-11 10:47:44,0.1320754716981132
0.95,-0.27,0.13,2025-02-11 10:47:44,0.14150943396226415
0.95,-0.27,0.12,2025-02-11 10:47:44,0.1509433962264151
0.95,-0.27,0.12,2025-02-11 10:47:44,0.16037735849056603
0.95,-0.27,0.12,2025-02-11 10:47:44,0.16981132075471697
0.95,-0.27,0.12,2025-02-11 10:47:44,0.1792452830188679
0.95,-0.26,0.12,2025-02-11 10:47:44,0.18867924528301885
0.95,-0.26,0.12,2025-02-11 10:47:44,0.1981132075471698
0.95,-0.26,0.12,2025-02-11 10:47:44,0.20754716981132074
0.95,-0.26,0.12,2025-02-11 10:47:44,0.21698113207547168
0.95,-0.25,0.11,2025-02-11 10:47:44,0.22641509433962265
0.95,-0.25,0.11,2025-02-11 10:47:44,0.2358490566037736
0.96,-0.25,0.11,2025-02-11 10:47:44,0.24528301886792453
0.96,-0.25,0.11,2025-02-11 10:47:44,0.25471698113207547
0.96,-0.25,0.11,2025-02-11 10:47:44,0.2641509433962264
0.96,-0.26,0.11,2025-02-11 10:47:44,0.27358490566037735
0.96,-0.26,0.11,2025-02-11 10:47:44,0.2830188679245283
0.96,-0.26,0.12,2025-02-11 10:47:44,0.29245283018867924
0.96,-0.25,0.12,2025-02-11 10:47:44,0.3018867924528302
0.96,-0.25,0.12,2025-02-11 10:47:44,0.3113207547169811
0.96,-0.25,0.12,2025-02-11 10:47:44,0.32075471698113206
0.96,-0.25,0.11,2025-02-11 10:47:44,0.330188679245283
0.95,-0.25,0.11,2025-02-11 10:47:44,0.33962264150943394
0.95,-0.25,0.11,2025-02-11 10:47:44,0.3490566037735849
0.96,-0.25,0.11,2025-02-11 10:47:44,0.3584905660377358
0.95,-0.24,0.12,2025-02-11 10:47:44,0.36792452830188677
0.95,-0.24,0.11,2025-02-11 10:47:44,0.3773584905660377
0.95,-0.24,0.11,2025-02-11 10:47:44,0.38679245283018865
0.95,-0.24,0.11,2025-02-11 10:47:44,0.3962264150943396
0.95,-0.24,0.11,2025-02-11 10:47:44,0.40566037735849053
0.95,-0.24,0.11,2025-02-11 10:47:44,0.4150943396226415
0.95,-0.24,0.12,2025-02-11 10:47:44,0.4245283018867924
0.95,-0.24,0.12,2025-02-11 10:47:44,0.43396226415094336
0.95,-0.24,0.12,2025-02-11 10:47:44,0.4433962264150943
0.95,-0.24,0.11,2025-02-11 10:47:44,0.4528301886792453
0.95,-0.24,0.12,2025-02-11 10:47:44,0.46226415094339623
0.95,-0.24,0.11,2025-02-11 10:47:44,0.4716981132075472
0.96,-0.25,0.12,2025-02-11 10:47:44,0.4811320754716981
0.96,-0.25,0.12,2025-02-11 10:47:44,0.49056603773584906
0.96,-0.25,0.12,2025-02-11 10:47:44,0.5
0.96,-0.25,0.12,2025-02-11 10:47:44,0.5094339622641509
0.96,-0.26,0.12,2025-02-11 10:47:44,0.5188679245283019
0.96,-0.26,0.12,2025-02-11 10:47:44,0.5283018867924528
0.96,-0.26,0.12,2025-02-11 10:47:44,0.5377358490566038
0.96,-0.26,0.12,2025-02-11 10:47:44,0.5471698113207547
0.95,-0.26,0.12,2025-02-11 10:47:44,0.5566037735849056
0.95,-0.26,0.12,2025-02-11 10:47:44,0.5660377358490566
0.95,-0.26,0.12,2025-02-11 10:47:44,0.5754716981132075
0.95,-0.26,0.12,2025-02-11 10:47:44,0.5849056603773585
0.95,-0.26,0.12,2025-02-11 10:47:44,0.5943396226415094
0.95,-0.26,0.12,2025-02-11 10:47:44,0.6037735849056604
0.95,-0.26,0.12,2025-02-11 10:47:44,0.6132075471698113
0.95,-0.26,0.12,2025-02-11 10:47:44,0.6226415094339622
0.95,-0.26,0.12,2025-02-11 10:47:44,0.6320754716981132
0.95,-0.26,0.12,2025-02-11 10:47:44,0.6415094339622641
0.95,-0.27,0.12,2025-02-11 10:47:44,0.6509433962264151
0.95,-0.27,0.12,2025-02-11 10:47:44,0.660377358490566
0.95,-0.27,0.12,2025-02-11 10:47:44,0.6698113207547169
0.95,-0.27,0.12,2025-02-11 10:47:44,0.6792452830188679
0.95,-0.27,0.12,2025-02-11 10:47:44,0.6886792452830188
0.95,-0.27,0.12,2025-02-11 10:47:44,0.6981132075471698
0.95,-0.27,0.12,2025-02-11 10:47:44,0.7075471698113207
0.95,-0.27,0.12,2025-02-11 10:47:44,0.7169811320754716
0.95,-0.27,0.12,2025-02-11 10:47:44,0.7264150943396226
0.95,-0.27,0.12,2025-02-11 10:47:44,0.7358490566037735
0.95,-0.27,0.12,2025-02-11 10:47:44,0.7452830188679245
0.95,-0.27,0.12,2025-02-11 10:47:44,0.7547169811320754
0.95,-0.27,0.12,2025-02-11 10:47:44,0.7641509433962264
0.95,-0.27,0.12,2025-02-11 10:47:44,0.7735849056603773
0.95,-0.27,0.12,2025-02-11 10:47:44,0.7830188679245282
0.95,-0.27,0.12,2025-02-11 10:47:44,0.7924528301886792
0.95,-0.27,0.11,2025-02-11 10:47:44,0.8018867924528301
0.95,-0.27,0.11,2025-02-11 10:47:44,0.8113207547169811
0.95,-0.27,0.11,2025-02-11 10:47:44,0.820754716981132
0.95,-0.27,0.12,2025-02-11 10:47:44,0.830188679245283
0.95,-0.26,0.12,2025-02-11 10:47:44,0.8396226415094339
0.95,-0.26,0.12,2025-02-11 10:47:44,0.8490566037735848
0.95,-0.26,0.12,2025-02-11 10:47:44,0.8584905660377358
0.95,-0.26,0.12,2025-02-11 10:47:44,0.8679245283018867
0.95,-0.26,0.12,2025-02-11 10:47:44,0.8773584905660377
0.95,-0.26,0.12,2025-02-11 10:47:44,0.8867924528301886
0.95,-0.26,0.12,2025-02-11 10:47:44,0.8962264150943395
0.95,-0.26,0.12,2025-02-11 10:47:44,0.9056603773584906
0.95,-0.26,0.12,2025-02-11 10:47:44,0.9150943396226415
